Time,Turtle_x,Turtle_y,Turtle_theta,Linear_x,Linear_y,Linear_z
11.18098783493042,7.10243558883667,7.1672282218933105,0.5809617042541504,0.0,0.0,0.0
11.683770418167114,7.10243558883667,7.1672282218933105,1.5089616775512695,0.0,0.0,0.0
12.188942193984985,7.10243558883667,7.1672282218933105,2.53296160697937,0.0,0.0,0.0
12.695010423660278,7.10243558883667,7.1672282218933105,3.5249617099761963,0.0,0.0,0.0
13.201143980026245,7.10243558883667,7.1672282218933105,4.548961639404297,0.0,0.0,0.0
13.70461392402649,7.2284064292907715,6.50714111328125,4.900961875915527,2.0,0.0,0.0
14.210770606994629,7.33038330078125,5.972784519195557,5.34896183013916,0.0,0.0,0.0
14.715946912765503,7.33038330078125,5.972784519195557,5.540961742401123,0.0,0.0,0.0
15.221475839614868,7.380281925201416,5.656699180603027,4.868961811065674,2.0,0.0,0.0
15.726966142654419,7.539958477020264,4.6452250480651855,4.868961811065674,2.0,0.0,0.0
16.232444286346436,7.568713665008545,4.6311845779418945,5.8289618492126465,2.0,0.0,0.0
16.73986840248108,8.488882064819336,4.181889533996582,5.8289618492126465,2.0,0.0,0.0
17.24707531929016,8.9275484085083,4.200455188751221,0.12177640199661255,0.0,0.0,0.0
17.752568006515503,9.43575668334961,4.262650489807129,0.6017764210700989,2.0,0.0,0.0
18.25951838493347,10.2271146774292,4.806114196777344,0.6657763719558716,2.0,0.0,0.0
18.766809940338135,10.51272964477539,5.342852592468262,1.0817763805389404,0.0,0.0,0.0
19.273417949676514,10.627840995788574,5.792788505554199,1.5937763452529907,2.0,0.0,0.0
19.77932071685791,10.6043119430542,6.816518306732178,1.5937763452529907,0.0,0.0,0.0
